Cluster_ID	Annotation	Gene_Name	Cav_10DC88	Cav_11DC096	Cga_08-1274-3	Cga_12-4358	Ctr_A-HAR-13
group173	Lysine-sensitive aspartokinase 3	lysC	FFOKMCCD_00496	KCMFMKKO_00169	HDCLDDAM_00080	MFHLCMEF_00080	JGDJAKFF_00389
group174	Aspartate-semialdehyde dehydrogenase 2	asd2	FFOKMCCD_00497	KCMFMKKO_00168	HDCLDDAM_00081	MFHLCMEF_00081	JGDJAKFF_00390
group175	4-hydroxy-tetrahydrodipicolinate reductase	dapB	FFOKMCCD_00498	KCMFMKKO_00167	HDCLDDAM_00082	MFHLCMEF_00082	JGDJAKFF_00391
group176	hypothetical protein	--	FFOKMCCD_00499	KCMFMKKO_00166	HDCLDDAM_00083	MFHLCMEF_00083	NA
group177	queuosine precursor transporter	--	FFOKMCCD_00500	KCMFMKKO_00165	HDCLDDAM_00084	MFHLCMEF_00084	NA
group178	Deubiquitinase and deneddylase Dub2	cdu2	FFOKMCCD_00501	KCMFMKKO_00164	HDCLDDAM_00085	MFHLCMEF_00085	JGDJAKFF_00940
group179	Biotin synthase	bioB	FFOKMCCD_00502	KCMFMKKO_00163	HDCLDDAM_00086	MFHLCMEF_00086	NA
group180	8-amino-7-oxononanoate synthase 2	bioF_1	FFOKMCCD_00503	KCMFMKKO_00162	HDCLDDAM_00087	MFHLCMEF_00087	NA
group181	ATP-dependent dethiobiotin synthetase BioD	bioD	FFOKMCCD_00504	KCMFMKKO_00161	HDCLDDAM_00088	MFHLCMEF_00088	NA
group182	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	bioA	FFOKMCCD_00505	KCMFMKKO_00160	HDCLDDAM_00089	MFHLCMEF_00089	NA
group183	hypothetical protein	--	FFOKMCCD_00506	KCMFMKKO_00159	HDCLDDAM_00090	MFHLCMEF_00090	NA
group184	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	FFOKMCCD_00507	KCMFMKKO_00158	HDCLDDAM_00091	MFHLCMEF_00091	JGDJAKFF_00393
group185	Shikimate kinase	aroK	FFOKMCCD_00508	KCMFMKKO_00157	HDCLDDAM_00092	MFHLCMEF_00092	JGDJAKFF_00394
group186	Chorismate synthase	aroC	FFOKMCCD_00509	KCMFMKKO_00156	HDCLDDAM_00093	MFHLCMEF_00093	JGDJAKFF_00395
group187	3-dehydroquinate synthase	aroB	FFOKMCCD_00510	KCMFMKKO_00155	HDCLDDAM_00094	MFHLCMEF_00094	JGDJAKFF_00396
group188	Shikimate dehydrogenase (NADP(+))	aroE	FFOKMCCD_00511	KCMFMKKO_00154	HDCLDDAM_00095	MFHLCMEF_00095	JGDJAKFF_00397
group189	hypothetical protein	--	FFOKMCCD_00512	KCMFMKKO_00153	HDCLDDAM_00096	MFHLCMEF_00096	JGDJAKFF_00398
group190	Porin AaxA	aaxA	FFOKMCCD_00513	KCMFMKKO_00152	HDCLDDAM_00097	MFHLCMEF_00097	JGDJAKFF_00399
group191	Pyruvoyl-dependent arginine decarboxylase AaxB	aaxB	FFOKMCCD_00514	KCMFMKKO_00151	HDCLDDAM_00098	MFHLCMEF_00098	JGDJAKFF_00400
group192	Arginine/agmatine antiporter	aaxC	FFOKMCCD_00515	KCMFMKKO_00150	HDCLDDAM_00099	MFHLCMEF_00099	JGDJAKFF_00402
group193	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	mnmC	FFOKMCCD_00516	KCMFMKKO_00149	HDCLDDAM_00100	MFHLCMEF_00100	JGDJAKFF_00405
group194	hypothetical protein	--	FFOKMCCD_00517	KCMFMKKO_00148	HDCLDDAM_00101	MFHLCMEF_00101	NA
group195	Malate dehydrogenase	mdh	FFOKMCCD_00518	KCMFMKKO_00147	HDCLDDAM_00102	MFHLCMEF_00102	JGDJAKFF_00406
group196	Glucose-6-phosphate isomerase	pgi	FFOKMCCD_00520	KCMFMKKO_00145	HDCLDDAM_00103	MFHLCMEF_00103	JGDJAKFF_00408
group197	Tyrosine recombinase XerD	xerD_1	FFOKMCCD_00521	KCMFMKKO_00144	HDCLDDAM_00104	MFHLCMEF_00104	JGDJAKFF_00937
group198	hypothetical protein	--	FFOKMCCD_00522	KCMFMKKO_00143	HDCLDDAM_00105	MFHLCMEF_00105	JGDJAKFF_00936
group199	hypothetical protein	--	FFOKMCCD_00525	KCMFMKKO_00140	HDCLDDAM_00108	MFHLCMEF_00108	JGDJAKFF_00933
group200	hypothetical protein	--	FFOKMCCD_00528	KCMFMKKO_00137	HDCLDDAM_00111	MFHLCMEF_00111	NA
group201	Protein CT_858	--	FFOKMCCD_00530	KCMFMKKO_00135	HDCLDDAM_00113	MFHLCMEF_00113	JGDJAKFF_00929
group202	Na(+)/H(+) antiporter NhaD	nhaD	FFOKMCCD_00531	KCMFMKKO_00134	HDCLDDAM_00114	MFHLCMEF_00114	JGDJAKFF_00928
group203	Fumarate hydratase class II	fumC	FFOKMCCD_00533	KCMFMKKO_00132	HDCLDDAM_00116	MFHLCMEF_00116	JGDJAKFF_00926
group204	hypothetical protein	--	FFOKMCCD_00534	KCMFMKKO_00131	HDCLDDAM_00117	MFHLCMEF_00117	JGDJAKFF_00925
group205	Adenylate kinase	adk_1	FFOKMCCD_00535	KCMFMKKO_00130	HDCLDDAM_00118	MFHLCMEF_00118	NA
group206	hypothetical protein	--	FFOKMCCD_00536	KCMFMKKO_00129	HDCLDDAM_00119	MFHLCMEF_00119	JGDJAKFF_00924
group207	hypothetical protein	--	FFOKMCCD_00537	KCMFMKKO_00128	HDCLDDAM_00120	MFHLCMEF_00120	JGDJAKFF_00923
group208	Methionine aminopeptidase	map	FFOKMCCD_00538	KCMFMKKO_00127	HDCLDDAM_00121	MFHLCMEF_00121	JGDJAKFF_00922
group209	hypothetical protein	--	FFOKMCCD_00539	KCMFMKKO_00126	HDCLDDAM_00122	MFHLCMEF_00122	JGDJAKFF_00921
group210	hypothetical protein	--	FFOKMCCD_00540	KCMFMKKO_00125	HDCLDDAM_00123	MFHLCMEF_00123	JGDJAKFF_00920
group211	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	lgt	FFOKMCCD_00285	KCMFMKKO_00370	HDCLDDAM_00823	MFHLCMEF_00825	JGDJAKFF_00270
group212	hypothetical protein	--	FFOKMCCD_00541	KCMFMKKO_00124	HDCLDDAM_00124	MFHLCMEF_00124	JGDJAKFF_00919
group213	hypothetical protein	--	FFOKMCCD_00542	KCMFMKKO_00123	HDCLDDAM_00125	MFHLCMEF_00125	JGDJAKFF_00918
group214	hypothetical protein	--	FFOKMCCD_00543	KCMFMKKO_00122	HDCLDDAM_00126	MFHLCMEF_00126	JGDJAKFF_00917
group215	hypothetical protein	--	FFOKMCCD_00544	KCMFMKKO_00121	HDCLDDAM_00127	MFHLCMEF_00127	JGDJAKFF_00916
group216	hypothetical protein	--	FFOKMCCD_00545	KCMFMKKO_00120	HDCLDDAM_00128	MFHLCMEF_00128	JGDJAKFF_00915
group217	tRNA-specific adenosine deaminase	tadA	FFOKMCCD_00546	KCMFMKKO_00119	HDCLDDAM_00129	MFHLCMEF_00129	JGDJAKFF_00914
group218	Polyribonucleotide nucleotidyltransferase	pnp	FFOKMCCD_00548	KCMFMKKO_00117	HDCLDDAM_00131	MFHLCMEF_00131	JGDJAKFF_00912
group219	ATP-dependent zinc metalloprotease FtsH	ftsH	FFOKMCCD_00549	KCMFMKKO_00116	HDCLDDAM_00132	MFHLCMEF_00132	JGDJAKFF_00911
group220	tRNA(Ile)-lysidine synthase	tilS	FFOKMCCD_00550	KCMFMKKO_00115	HDCLDDAM_00133	MFHLCMEF_00133	JGDJAKFF_00910
group221	hypothetical protein	--	FFOKMCCD_00552	KCMFMKKO_00114	HDCLDDAM_00134	MFHLCMEF_00134	JGDJAKFF_00909
group222	hypothetical protein	--	FFOKMCCD_00553	KCMFMKKO_00113	HDCLDDAM_00135	MFHLCMEF_00135	JGDJAKFF_00908
group223	hypothetical protein	--	FFOKMCCD_00554	KCMFMKKO_00112	HDCLDDAM_00136	MFHLCMEF_00136	JGDJAKFF_00907
group224	Phenylalanine--tRNA ligase alpha subunit	pheS	FFOKMCCD_00556	KCMFMKKO_00110	HDCLDDAM_00138	MFHLCMEF_00138	JGDJAKFF_00905
group225	Translation initiation factor IF-3	infC	FFOKMCCD_00559	KCMFMKKO_00107	HDCLDDAM_00141	MFHLCMEF_00141	JGDJAKFF_00902
group226	Transcription antitermination protein NusB	nusB	FFOKMCCD_00560	KCMFMKKO_00106	HDCLDDAM_00142	MFHLCMEF_00142	JGDJAKFF_00901
group227	UDP-N-acetylenolpyruvoylglucosamine reductase	murB	FFOKMCCD_00561	KCMFMKKO_00105	HDCLDDAM_00143	MFHLCMEF_00143	JGDJAKFF_00900
group228	hypothetical protein	--	FFOKMCCD_00562	KCMFMKKO_00104	HDCLDDAM_00144	MFHLCMEF_00144	JGDJAKFF_00899
group229	hypothetical protein	--	FFOKMCCD_00565	KCMFMKKO_00101	HDCLDDAM_00147	MFHLCMEF_00147	JGDJAKFF_00896
group230	hypothetical protein	--	FFOKMCCD_00567	KCMFMKKO_00099	HDCLDDAM_00148	MFHLCMEF_00148	JGDJAKFF_00895
group231	hypothetical protein	--	FFOKMCCD_00568	KCMFMKKO_00098	HDCLDDAM_00149	MFHLCMEF_00149	JGDJAKFF_00894
group232	hypothetical protein	--	FFOKMCCD_00295	KCMFMKKO_00360	HDCLDDAM_00833	MFHLCMEF_00835	JGDJAKFF_00260
group233	hypothetical protein	--	FFOKMCCD_00570	KCMFMKKO_00097	HDCLDDAM_00150	MFHLCMEF_00150	JGDJAKFF_00893
group233.1	hypothetical protein	--	FFOKMCCD_00569	NA	NA	NA	NA
group234	Succinate--CoA ligase [ADP-forming] subunit alpha	sucD	FFOKMCCD_00573	KCMFMKKO_00094	HDCLDDAM_00152	MFHLCMEF_00152	JGDJAKFF_00891
group235	Succinate--CoA ligase [ADP-forming] subunit beta	sucC	FFOKMCCD_00574	KCMFMKKO_00093	HDCLDDAM_00153	MFHLCMEF_00153	JGDJAKFF_00890
group236	Signal recognition particle receptor FtsY	ftsY	FFOKMCCD_00575	KCMFMKKO_00092	HDCLDDAM_00154	MFHLCMEF_00154	JGDJAKFF_00889
group237	Inner membrane protein YbhL	ybhL	FFOKMCCD_00576	KCMFMKKO_00091	HDCLDDAM_00155	MFHLCMEF_00155	JGDJAKFF_00888
group238	Tyrosine-specific transport protein	tyrP	FFOKMCCD_00577	KCMFMKKO_00090	HDCLDDAM_00156	MFHLCMEF_00156	JGDJAKFF_00884
group238.1	hypothetical protein	--	NA	NA	NA	NA	JGDJAKFF_00886
group239	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	glmS	FFOKMCCD_00578	KCMFMKKO_00089	HDCLDDAM_00157	MFHLCMEF_00157	JGDJAKFF_00883
group240	Poly(A) polymerase I	pcnB	FFOKMCCD_00580	KCMFMKKO_00087	HDCLDDAM_00159	MFHLCMEF_00159	JGDJAKFF_00442
group241	Lipid-A-disaccharide synthase	lpxB	FFOKMCCD_00581	KCMFMKKO_00086	HDCLDDAM_00160	MFHLCMEF_00160	JGDJAKFF_00443
group242	hypothetical protein	--	FFOKMCCD_00585	KCMFMKKO_00083	HDCLDDAM_00161	MFHLCMEF_00161	NA
group243	hypothetical protein	--	FFOKMCCD_00586	KCMFMKKO_00082	HDCLDDAM_00162	MFHLCMEF_00162	NA
group244	hypothetical protein	--	FFOKMCCD_00587	KCMFMKKO_00081	HDCLDDAM_00163	MFHLCMEF_00163	NA
group245	Phosphate acyltransferase	plsX	FFOKMCCD_00592	KCMFMKKO_00077	HDCLDDAM_00167	MFHLCMEF_00167	JGDJAKFF_00877
group246	50S ribosomal protein L32	rpmF	FFOKMCCD_00593	KCMFMKKO_00076	HDCLDDAM_00168	MFHLCMEF_00168	JGDJAKFF_00876
group247	hypothetical protein	--	FFOKMCCD_00594	KCMFMKKO_00075	HDCLDDAM_00169	MFHLCMEF_00169	JGDJAKFF_00875
group248	hypothetical protein	--	FFOKMCCD_00596	KCMFMKKO_00073	HDCLDDAM_00171	MFHLCMEF_00171	JGDJAKFF_00873
group249	Protease 3	ptrA	FFOKMCCD_00597	KCMFMKKO_00072	HDCLDDAM_00172	MFHLCMEF_00172	JGDJAKFF_00872
group250	hypothetical protein	--	FFOKMCCD_00598	KCMFMKKO_00071	HDCLDDAM_00173	MFHLCMEF_00173	JGDJAKFF_00871
group251	hypothetical protein	--	FFOKMCCD_00599	KCMFMKKO_00070	HDCLDDAM_00174	MFHLCMEF_00174	NA
group252	Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ispE	FFOKMCCD_00600	KCMFMKKO_00069	HDCLDDAM_00175	MFHLCMEF_00175	JGDJAKFF_00869
group253	50S ribosomal protein L9	rplI	FFOKMCCD_00601	KCMFMKKO_00068	HDCLDDAM_00176	MFHLCMEF_00176	JGDJAKFF_00868
group254	Peptidyl-tRNA hydrolase	pth	FFOKMCCD_00604	KCMFMKKO_00065	HDCLDDAM_00179	MFHLCMEF_00179	JGDJAKFF_00865
group255	50S ribosomal protein L25	rplY	FFOKMCCD_00605	KCMFMKKO_00064	HDCLDDAM_00180	MFHLCMEF_00180	JGDJAKFF_00864
group256	Glycogen synthase	glgA	FFOKMCCD_00607	KCMFMKKO_00062	HDCLDDAM_00182	MFHLCMEF_00182	JGDJAKFF_00862
group257	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA_1	FFOKMCCD_00608	KCMFMKKO_00061	HDCLDDAM_00183	MFHLCMEF_00183	JGDJAKFF_00861
group258	hypothetical protein	--	FFOKMCCD_00609	KCMFMKKO_00060	HDCLDDAM_00184	MFHLCMEF_00184	JGDJAKFF_00860
group259	hypothetical protein	--	FFOKMCCD_00610	KCMFMKKO_00059	HDCLDDAM_00185	MFHLCMEF_00185	NA
group260	hypothetical protein	--	FFOKMCCD_00611	KCMFMKKO_00058	HDCLDDAM_00186	MFHLCMEF_00186	JGDJAKFF_00859
group261	hypothetical protein	--	FFOKMCCD_00613	KCMFMKKO_00056	HDCLDDAM_00187	MFHLCMEF_00187	JGDJAKFF_00858
group262	hypothetical protein	--	FFOKMCCD_00305	KCMFMKKO_00351	HDCLDDAM_00842	MFHLCMEF_00844	JGDJAKFF_00251
group263	DNA primase	dnaG	FFOKMCCD_00614	KCMFMKKO_00055	HDCLDDAM_00188	MFHLCMEF_00188	JGDJAKFF_00857
group264	DNA mismatch repair protein MutS	mutS	FFOKMCCD_00615	KCMFMKKO_00054	HDCLDDAM_00189	MFHLCMEF_00189	JGDJAKFF_00856
group265	UvrABC system protein C	uvrC	FFOKMCCD_00616	KCMFMKKO_00053	HDCLDDAM_00190	MFHLCMEF_00190	JGDJAKFF_00855
group266	hypothetical protein	--	FFOKMCCD_00618	KCMFMKKO_00051	HDCLDDAM_00192	MFHLCMEF_00193	JGDJAKFF_00852
group266.1	hypothetical protein	--	NA	NA	NA	MFHLCMEF_00192	JGDJAKFF_00853
group267	hypothetical protein	--	FFOKMCCD_00621	KCMFMKKO_00047	HDCLDDAM_00195	MFHLCMEF_00196	JGDJAKFF_00848
group268	hypothetical protein	--	FFOKMCCD_00625	KCMFMKKO_00043	HDCLDDAM_00199	MFHLCMEF_00200	JGDJAKFF_00844
group269	Primosomal protein N'	priA	FFOKMCCD_00626	KCMFMKKO_00042	HDCLDDAM_00200	MFHLCMEF_00201	JGDJAKFF_00843
group270	8-amino-7-oxononanoate synthase	bioF_2	FFOKMCCD_00627	KCMFMKKO_00041	HDCLDDAM_00201	MFHLCMEF_00202	JGDJAKFF_00842
group271	Bifunctional protein Aas	aas_1	FFOKMCCD_00628	KCMFMKKO_00040	HDCLDDAM_00202	MFHLCMEF_00203	JGDJAKFF_00841
group272	hypothetical protein	--	FFOKMCCD_00629	KCMFMKKO_00039	HDCLDDAM_00203	MFHLCMEF_00204	JGDJAKFF_00840
group273	C4-dicarboxylate transport protein	dctA_2	FFOKMCCD_00308	KCMFMKKO_00348	HDCLDDAM_00845	MFHLCMEF_00847	JGDJAKFF_00248
group274	3'(2')%2C5'-bisphosphate nucleotidase CysQ	cysQ	FFOKMCCD_00630	KCMFMKKO_00038	HDCLDDAM_00204	MFHLCMEF_00205	JGDJAKFF_00839
group275	Leucine dehydrogenase	ldh	FFOKMCCD_00631	KCMFMKKO_00037	HDCLDDAM_00205	MFHLCMEF_00206	JGDJAKFF_00838
group276	Inorganic pyrophosphatase	ppa	FFOKMCCD_00632	KCMFMKKO_00036	HDCLDDAM_00206	MFHLCMEF_00207	JGDJAKFF_00837
group277	hypothetical protein	--	FFOKMCCD_00636	KCMFMKKO_00032	HDCLDDAM_00210	MFHLCMEF_00211	NA
group278	hypothetical protein	--	FFOKMCCD_00638	KCMFMKKO_00031	HDCLDDAM_00211	MFHLCMEF_00212	JGDJAKFF_00833
group278.1	hypothetical protein	--	FFOKMCCD_00637	NA	NA	NA	NA
group279	Cyclic dehypoxanthine futalosine synthase	mqnC	FFOKMCCD_00639	KCMFMKKO_00030	HDCLDDAM_00212	MFHLCMEF_00213	JGDJAKFF_00832
group280	tRNA dimethylallyltransferase	miaA	FFOKMCCD_00640	KCMFMKKO_00029	HDCLDDAM_00213	MFHLCMEF_00214	JGDJAKFF_00831
group281	Putative anti-sigma factor antagonist BtrV	btrV	FFOKMCCD_00641	KCMFMKKO_00028	HDCLDDAM_00214	MFHLCMEF_00215	JGDJAKFF_00830
group282	hypothetical protein	--	FFOKMCCD_00642	KCMFMKKO_00027	HDCLDDAM_00215	MFHLCMEF_00216	JGDJAKFF_00829
group283	Divalent-cation tolerance protein CutA	cutA	FFOKMCCD_00643	KCMFMKKO_00026	HDCLDDAM_00216	MFHLCMEF_00217	NA
group284	hypothetical protein	--	FFOKMCCD_00309	KCMFMKKO_00347	HDCLDDAM_00846	MFHLCMEF_00848	JGDJAKFF_00209
group285	UDP-N-acetylmuramate--L-alanine ligase	murC	FFOKMCCD_00645	KCMFMKKO_00024	HDCLDDAM_00218	MFHLCMEF_00219	JGDJAKFF_00827
group286	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	murG	FFOKMCCD_00646	KCMFMKKO_00023	HDCLDDAM_00219	MFHLCMEF_00220	JGDJAKFF_00826
group287	putative peptidoglycan glycosyltransferase FtsW	ftsW	FFOKMCCD_00647	KCMFMKKO_00022	HDCLDDAM_00220	MFHLCMEF_00221	JGDJAKFF_00825
group288	hypothetical protein	--	FFOKMCCD_00648	KCMFMKKO_00021	HDCLDDAM_00221	MFHLCMEF_00222	JGDJAKFF_00824
group289	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	FFOKMCCD_00649	KCMFMKKO_00020	HDCLDDAM_00222	MFHLCMEF_00223	JGDJAKFF_00823
group290	Phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY	FFOKMCCD_00650	KCMFMKKO_00019	HDCLDDAM_00223	MFHLCMEF_00224	JGDJAKFF_00822
group291	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	murF	FFOKMCCD_00651	KCMFMKKO_00018	HDCLDDAM_00224	MFHLCMEF_00225	JGDJAKFF_00821
group292	3'%2C5'-cyclic adenosine monophosphate phosphodiesterase CpdA	cpdA	FFOKMCCD_00654	KCMFMKKO_00015	HDCLDDAM_00227	MFHLCMEF_00228	JGDJAKFF_00818
group293	hypothetical protein	--	FFOKMCCD_00655	KCMFMKKO_00014	HDCLDDAM_00228	MFHLCMEF_00229	JGDJAKFF_00817
group294	Transketolase	tkt	FFOKMCCD_00658	KCMFMKKO_00011	HDCLDDAM_00231	MFHLCMEF_00232	JGDJAKFF_00814
group295	Alanine--tRNA ligase	alaS	FFOKMCCD_00659	KCMFMKKO_00010	HDCLDDAM_00232	MFHLCMEF_00233	JGDJAKFF_00810
group296	Uroporphyrinogen decarboxylase	hemE	FFOKMCCD_00662	KCMFMKKO_00008	HDCLDDAM_00234	MFHLCMEF_00235	JGDJAKFF_00808
group297	Oxygen-independent coproporphyrinogen III oxidase	hemN	FFOKMCCD_00663	KCMFMKKO_00007	HDCLDDAM_00235	MFHLCMEF_00236	JGDJAKFF_00807
group298	Protoporphyrinogen oxidase	hemY	FFOKMCCD_00664	KCMFMKKO_00006	HDCLDDAM_00236	MFHLCMEF_00237	JGDJAKFF_00806
group299	hypothetical protein	--	FFOKMCCD_00665	KCMFMKKO_00005	HDCLDDAM_00237	MFHLCMEF_00238	JGDJAKFF_00805
group300	23S rRNA (uracil-C(5))-methyltransferase RlmCD	rlmCD	FFOKMCCD_00667	KCMFMKKO_00003	HDCLDDAM_00239	MFHLCMEF_00240	JGDJAKFF_00803
group301	hypothetical protein	--	FFOKMCCD_00668	KCMFMKKO_00002	HDCLDDAM_00240	MFHLCMEF_00241	JGDJAKFF_00802
group302	Na(+)-translocating NADH-quinone reductase subunit F	nqrF	FFOKMCCD_00669	KCMFMKKO_00001	HDCLDDAM_00241	MFHLCMEF_00242	JGDJAKFF_00801
group303	hypothetical protein	--	NA	NA	HDCLDDAM_00242	MFHLCMEF_00243	NA
group304	DNA translocase FtsK	ftsK	FFOKMCCD_00673	KCMFMKKO_00941	HDCLDDAM_00247	MFHLCMEF_00248	JGDJAKFF_00796
group305	hypothetical protein	--	FFOKMCCD_00316	KCMFMKKO_00341	HDCLDDAM_00852	MFHLCMEF_00854	JGDJAKFF_00230
group306	Putative metallo-hydrolase YycJ	yycJ	FFOKMCCD_00674	KCMFMKKO_00940	HDCLDDAM_00248	MFHLCMEF_00249	JGDJAKFF_00795
group307	hypothetical protein	--	FFOKMCCD_00675	KCMFMKKO_00939	HDCLDDAM_00249	MFHLCMEF_00250	JGDJAKFF_00794
group308	hypothetical protein	--	FFOKMCCD_00676	KCMFMKKO_00938	HDCLDDAM_00250	MFHLCMEF_00251	JGDJAKFF_00793
group309	hypothetical protein	--	NA	NA	HDCLDDAM_00251	MFHLCMEF_00252	NA
group310	hypothetical protein	--	FFOKMCCD_00677	KCMFMKKO_00937	HDCLDDAM_00252	MFHLCMEF_00253	JGDJAKFF_00791
group311	Amino-acid carrier protein AlsT	alsT_2	FFOKMCCD_00678	KCMFMKKO_00936	HDCLDDAM_00253	MFHLCMEF_00254	JGDJAKFF_00792
group312	hypothetical protein	--	FFOKMCCD_00680	KCMFMKKO_00934	HDCLDDAM_00254	MFHLCMEF_00255	JGDJAKFF_00790
group313	6%2C7-dimethyl-8-ribityllumazine synthase	ribH	FFOKMCCD_00681	KCMFMKKO_00933	HDCLDDAM_00255	MFHLCMEF_00256	JGDJAKFF_00789
group314	Riboflavin biosynthesis protein RibBA	ribBA	FFOKMCCD_00682	KCMFMKKO_00932	HDCLDDAM_00256	MFHLCMEF_00257	JGDJAKFF_00788
group315	Riboflavin biosynthesis protein RibD	ribD	FFOKMCCD_00683	KCMFMKKO_00931	HDCLDDAM_00257	MFHLCMEF_00258	JGDJAKFF_00787
group316	hypothetical protein	--	FFOKMCCD_00329	KCMFMKKO_00330	HDCLDDAM_00863	MFHLCMEF_00865	NA
group317	Serine--tRNA ligase	serS	FFOKMCCD_00684	KCMFMKKO_00930	HDCLDDAM_00258	MFHLCMEF_00259	JGDJAKFF_00786
group318	hypothetical protein	--	FFOKMCCD_00685	KCMFMKKO_00929	HDCLDDAM_00259	MFHLCMEF_00260	JGDJAKFF_00785
group319	Cadmium-transporting ATPase	cadA	FFOKMCCD_00686	KCMFMKKO_00928	HDCLDDAM_00260	MFHLCMEF_00261	JGDJAKFF_00784
group320	Peptidoglycan glycosyltransferase MrdB	mrdB	FFOKMCCD_00687	KCMFMKKO_00927	HDCLDDAM_00261	MFHLCMEF_00262	JGDJAKFF_00783
group321	Bifunctional ligase/repressor BirA	birA	FFOKMCCD_00688	KCMFMKKO_00926	HDCLDDAM_00262	MFHLCMEF_00263	JGDJAKFF_00782
group322	hypothetical protein	--	FFOKMCCD_00689	KCMFMKKO_00925	HDCLDDAM_00263	MFHLCMEF_00264	JGDJAKFF_00781
group323	Ribosomal large subunit pseudouridine synthase B	rluB	FFOKMCCD_00690	KCMFMKKO_00924	HDCLDDAM_00264	MFHLCMEF_00265	JGDJAKFF_00780
group324	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA	FFOKMCCD_00691	KCMFMKKO_00923	HDCLDDAM_00265	MFHLCMEF_00266	JGDJAKFF_00779
group325	Cysteine desulfurase IscS	iscS	FFOKMCCD_00692	KCMFMKKO_00922	HDCLDDAM_00266	MFHLCMEF_00267	JGDJAKFF_00778
group326	hypothetical protein	--	FFOKMCCD_00693	KCMFMKKO_00921	HDCLDDAM_00267	MFHLCMEF_00268	JGDJAKFF_00777
group327	tRNA-cytidine(32) 2-sulfurtransferase	ttcA	FFOKMCCD_00336	KCMFMKKO_00323	HDCLDDAM_00869	MFHLCMEF_00871	JGDJAKFF_00233
group328	hypothetical protein	--	FFOKMCCD_00694	KCMFMKKO_00920	HDCLDDAM_00268	MFHLCMEF_00269	JGDJAKFF_00776
group329	hypothetical protein	--	FFOKMCCD_00695	KCMFMKKO_00919	HDCLDDAM_00269	MFHLCMEF_00270	JGDJAKFF_00775
group330	hypothetical protein	--	FFOKMCCD_00697	KCMFMKKO_00917	HDCLDDAM_00271	MFHLCMEF_00272	JGDJAKFF_00773
group331	putative uridylyltransferase	--	FFOKMCCD_00699	KCMFMKKO_00916	HDCLDDAM_00272	MFHLCMEF_00273	JGDJAKFF_00772
group332	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	gpsA	FFOKMCCD_00700	KCMFMKKO_00915	HDCLDDAM_00273	MFHLCMEF_00274	JGDJAKFF_00771
group333	hypothetical protein	--	FFOKMCCD_00701	KCMFMKKO_00914	HDCLDDAM_00274	MFHLCMEF_00275	JGDJAKFF_00770
group334	hypothetical protein	--	FFOKMCCD_00702	KCMFMKKO_00913	HDCLDDAM_00275	MFHLCMEF_00276	JGDJAKFF_00769
group335	Phosphoenolpyruvate carboxykinase [GTP]	pckG	FFOKMCCD_00704	KCMFMKKO_00911	HDCLDDAM_00277	MFHLCMEF_00278	JGDJAKFF_00767
group336	Trigger factor	tig	FFOKMCCD_00708	KCMFMKKO_00907	HDCLDDAM_00281	MFHLCMEF_00282	JGDJAKFF_00763
group337	CCA-adding enzyme	cca	FFOKMCCD_00711	KCMFMKKO_00904	HDCLDDAM_00284	MFHLCMEF_00285	JGDJAKFF_00760
group338	hypothetical protein	--	FFOKMCCD_00341	KCMFMKKO_00318	HDCLDDAM_00874	MFHLCMEF_00876	JGDJAKFF_00150
group339	GTPase Der	der	FFOKMCCD_00712	KCMFMKKO_00903	HDCLDDAM_00285	MFHLCMEF_00286	JGDJAKFF_00759
group340	hypothetical protein	--	FFOKMCCD_00713	KCMFMKKO_00902	HDCLDDAM_00286	MFHLCMEF_00287	JGDJAKFF_00758
group341	Protein translocase subunit SecA	secA	FFOKMCCD_00714	KCMFMKKO_00901	HDCLDDAM_00287	MFHLCMEF_00288	JGDJAKFF_00757
group342	hypothetical protein	--	FFOKMCCD_00715	KCMFMKKO_00900	HDCLDDAM_00288	MFHLCMEF_00289	JGDJAKFF_00756
group343	Phosphatidylserine decarboxylase proenzyme 2	PSD2	FFOKMCCD_00716	KCMFMKKO_00899	HDCLDDAM_00289	MFHLCMEF_00290	JGDJAKFF_00755
group344	tRNA modification GTPase MnmE	mnmE	FFOKMCCD_00717	KCMFMKKO_00898	HDCLDDAM_00290	MFHLCMEF_00291	JGDJAKFF_00754
group345	Endonuclease III	nth	FFOKMCCD_00718	KCMFMKKO_00897	HDCLDDAM_00291	MFHLCMEF_00292	JGDJAKFF_00753
